,Time, RPM, Gear, Throttle, Brake, Steering,Orientation1,Orientation2,Orientation3,Velocity1,Velocity2,Velocity3,Position1,Position2,Position3,Headway_Distance1,Headway_Distance2,Headway_Distance3,Preceding_Vel1,Preceding_Vel2,Preceding_Vel3,labels
10,2.0,0.0,3.0,0.0,0.0,-0.016,0.997,0.0,0.081,0.0,0.0,0.0,1190.092,-0.049,252.037,-5.98,-0.049,-0.485,0.000,0.000,0.000,1
11,2.2,0.0,3.0,0.0,0.0,-0.016,0.997,0.0,0.081,0.0,0.0,0.0,1190.092,-0.049,252.037,-5.957,-0.106,-0.513,-0.196,-0.880,-0.060,1
12,2.4,0.0,3.0,0.0,0.0,-0.016,0.997,0.0,0.081,0.0,0.0,0.0,1190.092,-0.049,252.037,-5.903,0.052,-0.498,-0.184,0.005,0.094,1
13,2.6,0.0,3.0,0.0,0.0,-0.016,0.997,0.0,0.081,0.0,0.0,0.0,1190.092,-0.049,252.037,-5.88,-0.015,-0.489,-0.147,0.121,-0.021,1
14,2.8,0.0,3.0,0.0,0.0,-0.016,0.997,0.0,0.081,0.0,0.0,0.0,1190.092,-0.049,252.037,-5.85,0.003,-0.486,-0.136,-0.076,-0.017,1
15,3.0,0.0,3.0,0.0,0.0,-0.016,0.997,0.0,0.081,0.0,0.0,0.0,1190.092,-0.049,252.037,-5.825,0.0,-0.483,-0.124,0.033,-0.018,1
16,3.2,0.0,3.0,0.0,0.0,-0.016,0.997,0.0,0.081,0.0,0.0,0.0,1190.092,-0.049,252.037,-5.897,0.004,-0.489,0.725,-0.013,0.084,1
17,3.4,0.0,3.0,0.0,0.0,-0.016,0.997,0.0,0.081,0.0,0.0,0.0,1190.092,-0.049,252.037,-6.083,0.001,-0.51,1.096,0.003,0.158,1
18,3.6,0.0,3.0,0.0,0.0,-0.016,0.997,0.0,0.081,0.0,0.0,0.0,1190.092,-0.049,252.037,-6.338,0.002,-0.526,1.411,0.000,0.057,1
19,3.8,0.0,3.0,0.0,0.0,-0.016,0.997,0.0,0.081,0.0,0.0,0.0,1190.092,-0.049,252.037,-6.651,0.002,-0.554,1.695,-0.004,0.038,1
20,4.0,0.0,3.0,0.0,0.0,-0.016,0.997,0.0,0.081,0.0,0.0,0.0,1190.092,-0.049,252.037,-7.016,0.002,-0.574,1.898,-0.010,0.358,1
21,4.2,0.0,3.0,0.0,0.0,-0.016,0.997,0.0,0.081,0.0,0.0,0.0,1190.092,-0.049,252.037,-7.432,0.002,-0.627,2.243,0.003,0.166,1
22,4.4,0.0,3.0,0.0,0.0,-0.016,0.997,0.0,0.081,0.0,0.0,0.0,1190.092,-0.049,252.037,-7.918,0.001,-0.663,2.582,0.002,0.221,1
23,4.6,0.0,3.0,0.0,0.0,-0.016,0.997,0.0,0.081,0.0,0.0,0.0,1190.092,-0.049,252.037,-8.472,0.001,-0.71,2.929,-0.001,0.248,1
24,4.8,402.851,3.0,0.0,0.0,-0.016,0.997,0.0,0.081,0.0,0.0,0.0,1190.092,-0.049,252.037,-9.095,0.002,-0.751,3.266,0.001,0.247,1
25,5.0,649.299,3.0,0.0,0.0,-0.016,0.997,0.0,0.081,0.004,0.0,0.0,1190.092,-0.049,252.037,-9.779,0.002,-0.806,3.539,-0.007,0.425,1
26,5.2,1096.015,3.0,0.0,0.0,-0.016,0.997,0.0,0.081,0.029,0.0,0.002,1190.095,-0.049,252.037,-10.523,0.001,-0.871,3.890,0.008,0.326,1
27,5.4,1096.0710000000001,3.0,0.0,0.0,-0.016,0.997,0.001,0.081,0.101,0.0,0.008,1190.109,-0.049,252.038,-11.325,0.001,-0.939,4.239,-0.003,0.359,1
28,5.6,1099.963,0.0,0.0,0.0,-0.016,0.997,0.0,0.081,0.101,0.0,0.009,1190.13,-0.049,252.04,-12.191,0.001,-1.013,4.588,0.001,0.389,1
29,5.8,1099.112,1.0,0.0,0.0,-0.016,0.997,0.0,0.081,0.118,0.0,0.01,1190.151,-0.049,252.042,-13.125,0.001,-1.092,4.937,0.000,0.418,1
30,6.0,1107.372,1.0,0.152,0.0,-0.016,0.997,0.0,0.081,0.148,0.0,0.012,1190.178,-0.049,252.044,-14.147,0.003,-1.178,5.569,0.000,0.472,1
31,6.2,1674.7220000000002,1.0,0.971,0.0,-0.016,0.997,0.001,0.081,0.244,0.0,0.02,1190.214,-0.049,252.047,-15.323,0.004,-1.271,6.493,0.001,0.498,1
32,6.4,2147.813,1.0,1.0,0.0,-0.016,0.997,0.006,0.081,0.979,0.0,0.082,1190.336,-0.052,252.057,-16.614,0.001,-1.371,7.529,0.000,0.587,2
33,6.6,2246.348,1.0,1.0,0.0,-0.016,0.997,0.007,0.081,1.964,0.0,0.165,1190.639,-0.052,252.082,-17.935,0.001,-1.472,8.615,-0.001,0.671,2
34,6.8,2356.541,1.0,1.0,0.0,-0.016,0.997,0.007,0.083,2.97,0.0,0.253,1191.142,-0.052,252.125,-19.276,0.001,-1.574,9.714,0.000,0.757,2
